,spy,spy_lag1,sp500,nasdaq,dji,cac40,daxi,aord,hsi,nikkei,Price
553,0.549995999999993,-0.6899949999999961,-3.179932000000008,-14.15014599999995,11.640629999999874,31.07983400000012,75.55029300000115,11.299804999999651,373.4589840000008,-11.469726999999693,115.260002
554,0.950004000000007,0.549995999999993,2.299927000000025,5.40014599999995,19.12010999999984,28.69018499999993,-19.17041000000063,1.699706999999762,89.37890699999843,29.719726999999693,115.809998
555,0.34999899999999684,0.950004000000007,9.109985000000052,14.329834000000119,43.830080000001544,14.069824000000153,10.189941999999064,-5.700195000000349,144.25976599999922,-48.88964800000031,116.760002
556,-1.1400000000000006,0.34999899999999684,6.190063999999893,5.890136999999868,47.080079999999725,32.59008799999992,30.410156000000825,5.600097999999889,-127.26953199999843,-41.68945299999905,117.110001
557,-0.6600030000000032,-1.1400000000000006,0.5500489999999445,3.6599120000000767,46.55956999999944,78.22998099999995,31.39990200000011,-34.60009799999989,146.109375,-8.559570000001258,115.970001
558,1.450004000000007,-0.6600030000000032,-9.430053999999927,-30.849853000000167,-39.0,-16.489990999999918,-10.939941000000545,8.5,100.41992200000095,-36.280274000000645,115.309998
559,0.20999899999999627,1.450004000000007,9.219970999999987,37.54980400000022,46.179690000000846,0.6599129999999604,1.5600580000000264,49.69970699999976,30.619140999999217,-128.35058500000014,116.760002
560,0.6599960000000067,0.20999899999999627,6.229980000000069,8.820068999999876,100.44042999999874,12.870116999999937,64.12011800000073,4.10009700000046,193.76953100000173,-20.87011700000039,116.970001
561,-0.759994000000006,0.6599960000000067,-2.6699220000000423,8.520019000000048,-50.110349999999016,12.709961000000021,5.979980000000069,13.0,-250.59960900000078,-59.430663999999524,117.629997
562,0.2999950000000098,-0.759994000000006,-2.450072999999975,-8.510009999999966,3.780269999999291,-12.969970999999987,26.439940999999635,-29.70019500000035,-112.58007799999905,58.259766000001036,116.870003
563,0.2900009999999895,0.2999950000000098,0.13000499999998283,-2.9599600000001374,7.9404300000005605,-6.610106999999971,-70.87988200000018,32.39990200000011,-61.621093000001565,-38.91992199999913,117.169998
564,-0.5100020000000001,0.2900009999999895,6.040038999999979,2.9199210000001585,45.789059999999154,39.910155999999915,26.239746000000196,6.10009700000046,-107.53906199999983,-16.44042999999874,117.459999
565,0.8500060000000076,-0.5100020000000001,-2.0,-3.709961000000021,12.320310000000973,-17.360107999999855,50.910155999999915,0.5996099999993021,-194.04101500000252,126.20019499999944,116.949997
566,0.4499969999999962,0.8500060000000076,-0.5200199999999313,8.69995199999994,-50.03027000000111,16.5,5.839844000000085,14.700195000000349,-152.609375,103.4003900000007,117.800003
567,0.16999800000000675,0.4499969999999962,7.4799809999999525,-2.1999519999999393,70.14062999999987,-44.889892000000145,82.0302730000003,-2.799804999999651,104.12109300000157,-80.7197269999997,118.25
